AcceptedChallengeDuelHasBegun	You have accepted %s's challenge, the duel has begun!
AlertAccessGrantedTo	Access granted to %s
AlertAccessRevokedFor	Access revoked for %s
AlertAllianceHasBeenBroken	%s has broken their alliance your faction!
AlertAlreadyAtWarWith	Your faction is already at war with %s!
AlertAlreadyCreatingGate	You are already creating a gate!
AlertAlreadyDueling	You are already dueling!
AlertAlreadyDuelingPlayer	You are already dueling %s!
AlertAlreadyDuelingSomeone	You are already dueling someone!
AlertAlreadyGrantingAccess	You are already granting access to someone! Type /mf grantaccess cancel to cancel this.
AlertAlreadyInFaction	You're already in a faction, sorry!
AlertAlreadyRequestedAlliance	You've already requested an alliance with this faction!
AlertAlreadyRequestedPeace	You've already requested peace with this faction!
AlertAttemptedAlliance	%s has attempted to ally with %s!
AlertAttemptedVassalization	%s has attempted to vassalize your faction! If you are the owner, type '/mf swearfealty %s' to accept.
AlertBeenInvited	You've been invited to %s! Type /mf join %s to join.
AlertCalledToWar1	%s has called your faction into their war with %s!
AlertCalledToWar2	%s has called %s into their war with your faction!
AlertCalledToWar3	Your faction has called %s into your war with %s!
AlertChallengeIssued	You have challenged %s to a duel!
AlertChallengeWasAccepted	%s has accepted your challenge, the duel has begun!
AlertChallengedToDuel	%s has challenged %s to a duel!
AlertChallengedToDuelPlusHowTo	 %s has challenged you to a duel! Type /mf duel accept to begin.
AlertChangedGateName	Changed gate name to '%s'.
AlertCurrentPowerLevel	Your current power level is %d/%d.
AlertDecreasingThePowerOfInactivePlayers	Medieval Factions is decreasing the power of every player by %d if they haven't been online in over %d minutes. This will happen every %d minutes.
AlertDemotion	You have been demoted to member status in your faction.
AlertDisbandmentDueToZeroPower	Your faction has been disbanded due to its cumulative power reaching zero.
AlertFactionAttemptedToVassalize	Your faction has attempted to vassalize %s!
AlertFactionHasBeenVassalized	Your faction has been vassalized and has a new liege: %s
AlertFactionHasNewVassal	Your faction has a new vassal: %s
AlertFactionHomeRemoved	Your faction home has been removed!
AlertForcedDemotion	You were forcibly demoted from officer status in your faction!
AlertForcedKick	You were forcibly kicked from your faction!
AlertForcedLoad	Medieval Factions has been forced to load.
AlertForcedSave	Medieval Factions has been forced to save.
AlertForcedToJoinFaction	You were forced to join a faction!
AlertGate	That is the '%s' gate.
AlertGrantedIndependence	%s has granted your faction independence!
AlertIncreasingThePowerOfEveryPlayer	Medieval Factions is increasing the power of every player by %d. This will happen every %d minutes.
AlertJoinedFaction	You joined the faction!
AlertKicked	You have been kicked from your faction by %s.
AlertLandClaimed	Land claimed! Demesne Size: %d/%d
AlertLandConqueredFromAnotherFaction	Land conquered from %s! Demesne Size: %d/%d
AlertLandConqueredFromYourFaction	%s has conquered land from your faction!
AlertLeftFaction	You left your faction.
AlertLeftFactionAndItGotDeleted	You left your faction. It was deleted since no one else was a member.
AlertMoreClaimedChunksThanPower	Your faction has more claimed chunks than power! Your land can be conquered!
AlertMustBeAtWarToConquer	Your factions have to be at war in order for you to conquer land.
AlertMustBeInFactionToUseCommand	You must be in a faction to use this command!
AlertMustBeMemberToCreateGate	You must be a member of this faction to create a gate.
AlertMustBeOfficerOrOwnerToClaimLand	You must be an officer or owner of a faction to claim land!
AlertMustBeOwnerOrOfficerToCreateGate	You must be a faction owner or officer to create a gate.
AlertMustBeOwnerOrOfficerToUseCommand	You need to be the owner of a faction or an officer of a faction to use this command.
AlertMustBeOwnerToInvokeAlliance	You must be the owner of your faction to invoke an alliance.
AlertMustBeOwnerToUseCommand	You need to be the owner of a faction to use this command.
AlertMustKickAllPlayers	You need to kick all players before you can disband your faction.
AlertNoGatesDefined	Your faction has no gates defined.
AlertNoLaws	Your faction doesn't have any laws.
AlertNoLongerVassalFaction	%s is no longer a vassal faction!
AlertNoPendingChallenges	You have no pending challenges to cancel.
AlertNonOwnership	You don't own this!
AlertNotAllied	Your faction is not allied with
AlertNotBeenChallenged	You have not been challenged to a duel by anyone.
AlertNotBeenChallengedByPlayer	You have not been challenged to a duel by '%s'.
AlertNotInFaction	You're not in a faction!
AlertNotInvitedToFaction	You're not invited to this faction!
AlertNotOfferedVassalizationBy	You haven't been offered vassalization by this faction!
AlertNowAlliedWith	Your faction is now allied with %s!
AlertNowAtPeaceWith	%s is now at peace with %s!
AlertPowerLevelDecreased	Your power level has decreased!
AlertPowerLevelIncreasedBy	You feel stronger. Your power has increased by %d.
AlertReachedDemesne	You have reached your demesne limit! Invite more players to increase this.
AlertUnlocked	Unlocked!
AlertUnlockingCancelled	Unlocking cancelled!
AllLandUnclaimed	All land unclaimed.
AllLandUnclaimedFrom	All land unclaimed from %s!
AllianceBrokenWith	Alliance has been broken with %s!
AlliedWith	Allied With: %s
AlreadyEnteredCheckAccess	You have already entered this command! Type '/mf checkaccess cancel' to cancel!
AlreadyEnteredRevokeAccess	You have already entered this command! Type '/mf revokeaccess cancel' to cancel!
AlreadyInFaction	Sorry, you're already in a faction. Leave if you want to create a different one.
AtWarWith	At War With: %s
AttemptedAlliance	Attempted to ally with %s
AttemptedPeace	Attempted to make peace with %s
AutoclaimToggled	Autoclaim toggled.
BlockAlreadyLocked	This block is already locked!
BlockIsNotLocked	That block isn't locked!
BlockIsPartOfGateMustRemoveGate	This block is part of gate '%s'. You must remove the gate first.
BooleanSet	Boolean set!
CanOnlyCreateGatesInClaimedTerritory	You can only create gates in claimed territory.
CanOnlyLockBlocksInClaimedTerritory	You can only lock blocks on land claimed by your faction!
CanOnlyLockInFactionTerritory	You can only lock things in your faction's territory!
CanOnlyLockSpecificBlocks	You can only lock chests, doors, barrels, trapdoors, furnaces, anvils or gates.
Cancelled	Cancelled!
CancelledGatePlacement1	Error placing point 1. Cancelled gate placement.
CancelledGatePlacement2	Error placing point 2. Cancelled gate placement.
CancelledGatePlacementErrorLinking	Error linking to lever. Cancelled gate placement.
CannotAllyWithSelf	You can't ally with your own faction!
CannotAttackFactionMember	You can't attack another player if you are part of the same faction.
CannotAttackNonWarringPlayer	You can't attack another player if your factions aren't at war.
CannotBreakAllianceWithSelf	You can't break an alliance with your own faction.
CannotCancelActiveDuel	Cannot cancel an active duel.
CannotDeclareWarIfLiegeNotWeakened	"You can't declare war on this faction as they are a vassal unless their liege is weakened!"
CannotDeclareWarOnAlly	You can't declare war on your ally!
CannotDeclareWarOnLiege	You can't declare war on your liege! Try '/mf declareindependence' instead!
CannotDeclareWarOnVassal	You can't declare war on your own vassal!
CannotDeclareWarOnYourself	You can't declare war on yourself!
CannotDuelSelf	You cannot duel yourself!
CannotFindDynmap	Cannot find dynmap!
CannotForciblyKickOwner	Cannot forcibly kick an owner from their faction! Try disbanding the faction!
CannotKickOwner	You can't kick the owner.
CannotKickSelf	You can't kick yourself.
CannotMakePeaceWithSelf	You can't make peace with your own faction!
CannotPlaceChestsNextToUnownedLockedChests	You can't place chests next to locked chests you don't own.
CannotPlaceHoppersNextToUnownedLockedChests	You can't place hoppers next to, under or above locked chests you don't own.
CannotSetFactionHomeInWilderness	You can't set your faction home on land your faction hasn't claimed!
CannotSetVersion	Can't set version!
CannotTransferToSelf	You can't transfer ownership of your faction to yourself!
CannotVassalizeLiege	You can't vassalize your liege!
CannotVassalizeSelf	You can't vassalize your own faction!
CannotVassalizeVassal	You can't vassalize a faction who already has a liege!
ClaimedChunksLoaded	Claimed chunks loaded.
ClaimedChunksSuccessfullyLoaded	Claimed chunks successfully loaded.
ClickOnTriggerLever	Click on the trigger lever...
ClickToPlaceSecondCorner	Click to place the second corner...
CommandCancelled	Command cancelled!
CommandNotRecognized	Medieval Factions doesn't recognize that command!
CommandsPage1	THIS HAS BEEN CHANGED SO KEYS CAN BE ALTERED ACCORDING TO VERSION OFFICIALLY
CommandsPage2	== Medieval Factions Commands Page 2/%d ==
CommandsPage3	== Medieval Factions Commands Page 3/%d ==
CommandsPage4	== Medieval Factions Commands Page 4/%d ==
CommandsPage5	== Medieval Factions Commands Page 5/%d ==
CommandsPage6	== Medieval Factions Commands Page 6/%d ==
CreatingGateCancelled	Creating gate cancelled!
CreatingGateClickWithHoe	Creating gate. Click on a block with a Golden Hoe to select the first point.
CuboidDisallowed1	Error placing point 1: You cannot place a cuboid.
CuboidDisallowed2	Error placing point 2: You cannot place a cuboid.
CurrentLanguageID	Current Language ID: %s
CurrentPowerLevel	%s's current power level is %d/%d.
CurrentlyNoFactions	There are currently no factions.
Defeated	%s has defeated %s in a duel!
DemesneSize	Demesne Size: %d/%d
Description	Description: %s
DescriptionSet	Description set!
DesignatedFactionNotFound	One of the factions designated wasn't found!
DesiredPowerMustBeANumber	Desired power must be a number!
DeveloperList	Developers:
DisbandmentDueToZeroPower	%s has been disbanded due to its cumulative power reaching zero.
DoesntExist	%s doesn't exist!
DoubleSet	Double set!
DuelChallengeCancelled	Duel challenge cancelled.
DuelEndedInTie	%s and %s's duel has ended in a tie.
DynmapIntegrationSuccessful	Dynmap integration successful!
ERROR	ERROR:
ErrorAddingAreaMarker	Error adding area marker %s
ErrorChunkRemoval	An error has occurred during claimed chunk removal.
ErrorClaimedChunkRemoval	An error has occurred during claimed chunk removal.
ErrorCouldNotFindGatesFaction	Error: Could not find faction for gate '%s'.
ErrorCouldNotLoadFactionGate	ERROR: Could not load faction gate.\n
ErrorCreatingMarkerSet	Error creating marker set!
ErrorIntegratingWithDynmap	Error integrating with dynmap:
ErrorPlayerPowerRecordForUUIDNotFound	ERROR: Player's Power Record for uuid not found. Could not get cumulative power level.
FactionAlreadyAlly	That faction is already your ally!
FactionAlreadyExists	Sorry! That faction already exists.
FactionCreated	Faction created.
FactionCurrentlyEnemyMustMakePeace	That faction is currently your enemy! Make peace before trying to ally with them.
FactionDataLoadedSuccessfuly	Faction data loaded successfully
FactionDoesNotExist	Sorry! That faction doesn't exist!
FactionDoesNotHaveLaws	That faction doesn't have any laws.
FactionGates	Faction Gates
FactionHomeLoadError	An error occurred loading the faction home position.
FactionHomeNotSetYet	The faction home isn't set yet.
FactionHomeSet	Faction home set!
FactionInfo	%s Faction Info
FactionIsNotVassal	That faction isn't a vassal of yours!
FactionMustBeDesignatedInsideSingleQuotes	Faction must be designated inside single quotes!
FactionNameChanged	Faction name changed!
FactionNameNotRecognized	That faction name isn't recognized!
FactionNotEnemy	That faction is not your enemy!
FactionNotFound	That faction wasn't found!
FactionSuccessfullyDisbanded	Faction successfully disbanded.
FactionSuccessfullyLoaded	Faction successfully loaded.
FactionsSuccessfullyLoaded	Factions successfully loaded.
FactionsTitle	== Factions ==
FileLoadError	An error occurred loading the file
FollowingPlayersHaveAccess	The following players have access to this block:
GateCreated	Gate successfully created.
HasAttemptedToMakePeaceWith	%s has attempted to make peace with %s!
HasBeenKickedFrom	%s has been kicked from %s
HasDeclaredIndependence	%s has declared independence from %s!
HasDeclaredWarAgainst	%s has declared war against %s!
HasJoined	%s has joined %s
HelpAddLaw	/mf addlaw - Add a law to your faction.
